   1123 の	助詞,接続助詞,*,*,の,の,*
      3 凶	名詞,普通名詞,*,*,凶,きょう,代表表記:凶/きょう 漢字読み:音 カテゴリ:抽象物
      3 救世	名詞,普通名詞,*,*,救世,きゅうせい,代表表記:救世/きゅうせい カテゴリ:抽象物
      3 救った	動詞,*,子音動詞ワ行,タ形,救う,すくった,代表表記:救う/すくう ドメイン:健康・医学
      3 休み	動詞,*,子音動詞マ行,基本連用形,休む,やすみ,代表表記:休む/やすむ
      3 逆	形容詞,*,ナノ形容詞,語幹,逆だ,ぎゃく,代表表記:逆だ/ぎゃくだ
      3 客	名詞,普通名詞,*,*,客,きゃく,代表表記:客/きゃく 漢字読み:音 カテゴリ:人 ドメイン:家庭・暮らし;ビジネス
      3 偽り	動詞,*,子音動詞ラ行,基本連用形,偽る,いつわり,代表表記:偽る/いつわる 補文ト
      3 鬼畜	名詞,普通名詞,*,*,鬼畜,きちく,代表表記:鬼畜/きちく カテゴリ:人
      3 記録	名詞,サ変名詞,*,*,記録,きろく,代表表記:記録/きろく カテゴリ:抽象物
      3 機	名詞,普通名詞,*,*,機,き,代表表記:機/き 漢字読み:音 カテゴリ:人工物-その他
      3 奇譚	名詞,普通名詞,*,*,奇譚,きたん,代表表記:奇譚/きたん カテゴリ:抽象物 ドメイン:文化・芸術
      3 関係	名詞,サ変名詞,*,*,関係,かんけい,代表表記:関係/かんけい カテゴリ:抽象物
      3 甘く	形容詞,*,イ形容詞アウオ段,基本連用形,甘い,あまく,代表表記:甘い/あまい 反義:形容詞:辛い/からい
      3 官	名詞,普通名詞,*,*,官,かん,代表表記:官/かん 漢字読み:音 カテゴリ:抽象物 ドメイン:政治
      3 完結	名詞,サ変名詞,*,*,完結,かんけつ,代表表記:完結/かんけつ カテゴリ:抽象物
      3 巻き	動詞,*,子音動詞カ行,基本連用形,巻く,まき,代表表記:巻く/まく
      3 割と	副詞,*,*,*,割と,わりと,代表表記:割と/わりと 相対名詞修飾 用言弱修飾
      3 楽しむ	動詞,*,子音動詞マ行,基本形,楽しむ,たのしむ,代表表記:楽しむ/たのしむ 形容詞派生:楽しい/たのしい
      3 学院	名詞,普通名詞,*,*,学院,がくいん,代表表記:学院/がくいん 組織名末尾 カテゴリ:組織・団体;場所-施設 ドメイン:教育・学習
      3 外伝	名詞,普通名詞,*,*,外伝,がいでん,代表表記:外伝/がいでん カテゴリ:抽象物 ドメイン:文化・芸術
      3 外れ	動詞,*,母音動詞,基本連用形,外れる,はずれ,代表表記:外れる/はずれる 自他動詞:他:外す/はずす 反義:動詞:当たる/あたる
      3 海	名詞,普通名詞,*,*,海,うみ,代表表記:海/うみ 漢字読み:訓 地名末尾 カテゴリ:場所-自然
      3 改訂	名詞,サ変名詞,*,*,改訂,かいてい,代表表記:改訂/かいてい カテゴリ:抽象物 ドメイン:メディア
      3 解雇	名詞,サ変名詞,*,*,解雇,かいこ,代表表記:解雇/かいこ カテゴリ:抽象物 ドメイン:ビジネス
      3 我	名詞,普通名詞,*,*,我,われ,代表表記:我/われ 漢字読み:訓 カテゴリ:人
      3 過ごす	動詞,*,子音動詞サ行,基本形,過ごす,すごす,代表表記:過ごす/すごす 付属動詞候補（基本）
      3 過ぎて	接尾辞,動詞性接尾辞,母音動詞,タ系連用テ形,過ぎる,すぎて,代表表記:過ぎる/すぎる
      3 家出	名詞,サ変名詞,*,*,家出,いえで,代表表記:家出/いえで カテゴリ:抽象物 ドメイン:家庭・暮らし
      3 何度	名詞,普通名詞,*,*,何度,なんど,代表表記:何度/なんど カテゴリ:数量
      3 何も	副詞,*,*,*,何も,なにも,代表表記:何も/なにも
      3 何とか	副詞,*,*,*,何とか,なんとか,代表表記:何とか/なんとか
      3 音楽	名詞,普通名詞,*,*,音楽,おんがく,代表表記:音楽/おんがく カテゴリ:抽象物 ドメイン:文化・芸術
      3 王道	名詞,普通名詞,*,*,王道,おうどう,代表表記:王道/おうどう カテゴリ:抽象物
      3 縁	名詞,普通名詞,*,*,縁,えん,代表表記:縁/えん 漢字読み:音 カテゴリ:抽象物
      3 嘘	名詞,普通名詞,*,*,嘘,うそ,代表表記:嘘/うそ カテゴリ:抽象物 反義:形容詞:本当だ/ほんとうだ
      3 雨	名詞,普通名詞,*,*,雨,あめ,代表表記:雨/あめ 漢字読み:訓 カテゴリ:抽象物
      3 羽	名詞,普通名詞,*,*,羽,はね,代表表記:羽根/はね カテゴリ:動物-部位
      3 右手	名詞,普通名詞,*,*,右手,みぎて,代表表記:右手/みぎて カテゴリ:動物-部位
      3 陰陽師	名詞,普通名詞,*,*,陰陽師,おんみょうじ,自動獲得:Wikipedia Wikipedia上位語:職掌
      3 引き	動詞,*,子音動詞カ行,基本連用形,引く,ひき,代表表記:引く/ひく 反義:動詞:押す/おす;動詞:加える/くわえる;動詞:足す/たす
      3 員	名詞,普通名詞,*,*,員,いん,代表表記:員/いん 漢字読み:音 カテゴリ:人
      3 溢れる	動詞,*,母音動詞,基本形,溢れる,あふれる,代表表記:溢れる/あふれる
      3 育成	名詞,サ変名詞,*,*,育成,いくせい,代表表記:育成/いくせい カテゴリ:抽象物
      3 育て	動詞,*,母音動詞,未然形,育てる,そだて,代表表記:育てる/そだてる ドメイン:家庭・暮らし 自他動詞:自:育つ/そだつ
      3 意味	名詞,サ変名詞,*,*,意味,いみ,代表表記:意味/いみ 修飾（デ格） カテゴリ:抽象物
      3 扱い	動詞,*,子音動詞ワ行,基本連用形,扱う,あつかい,代表表記:扱う/あつかう
      3 悪い	形容詞,*,イ形容詞アウオ段,基本形,悪い,わるい,代表表記:悪い/わるい 反義:形容詞:良い/よい
      3 愛して	動詞,*,子音動詞サ行,タ系連用テ形,愛す,あいして,代表表記:愛す/あいす
      3 ワールド	名詞,人名,*,*,*,*,*
      3 ヤバい	形容詞,*,イ形容詞アウオ段,基本形,ヤバい,ヤバい,代表表記:やばい/やばい 自動獲得:テキスト 既知語帰着:表記・出現類似
      3 モンスター	名詞,組織名,*,*,*,*,*
      3 メイド	名詞,普通名詞,*,*,メイド,めいど,代表表記:メード/めーど カテゴリ:人
      3 フラグ	名詞,普通名詞,*,*,フラグ,フラグ,自動獲得:Wikipedia Wikipedia多義 代表表記:フラグ/フラグ
      3 ファンタジー	名詞,人名,*,*,*,*,*
      3 パン	名詞,普通名詞,*,*,パン,ぱん,代表表記:パン/ぱん カテゴリ:人工物-食べ物 ドメイン:料理・食事
      3 ドイツ	名詞,地名,*,*,ドイツ,どいつ,代表表記:ドイツ/どいつ 地名:国
      3 ッ	名詞,人名,*,*,*,*,*
      3 スローライフ	名詞,人名,*,*,*,*,*
      3 ジョブ	名詞,普通名詞,*,*,ジョブ,ジョブ,自動獲得:Wikipedia Wikipedia多義
      3 ショート	名詞,サ変名詞,*,*,ショート,しょーと,代表表記:ショート/しょーと カテゴリ:抽象物 ドメイン:スポーツ;無し 多義
      3 ザ	名詞,人名,*,*,*,*,*
      3 サバイバル	名詞,普通名詞,*,*,サバイバル,さばいばる,代表表記:サバイバル/さばいばる カテゴリ:抽象物
      3 クビ	名詞,普通名詞,*,*,クビ,くび,代表表記:首/くび 漢字読み:訓 カテゴリ:動物-部位
      3 キャラ	名詞,普通名詞,*,*,キャラ,きゃら,代表表記:キャラ/きゃら カテゴリ:抽象物
      3 キミ	名詞,普通名詞,*,*,*,*,*
      3 オンライン	名詞,普通名詞,*,*,オンライン,おんらいん,代表表記:オンライン/おんらいん カテゴリ:抽象物 ドメイン:科学・技術
      3 エルフ	名詞,組織名,*,*,エルフ,エルフ,自動獲得:Wikipedia Wikipedia上位語:種族/しゅぞく
      3 ウチ	名詞,普通名詞,*,*,ウチ,うち,代表表記:内/うち 漢字読み:訓 カテゴリ:場所-機能;抽象物
      3 アラサー	名詞,人名,*,*,*,*,*
      3 アニメ	名詞,普通名詞,*,*,アニメ,あにめ,代表表記:アニメ/あにめ カテゴリ:抽象物 ドメイン:文化・芸術
      3 ろ	名詞,普通名詞,*,*,ろ,ろ,代表表記:櫨/ろ カテゴリ:人工物-その他
      3 ような	助動詞,*,ナ形容詞,ダ列基本連体形,ようだ,ような,*
      3 やる	動詞,*,子音動詞ラ行,基本形,やる,やる,代表表記:やる/やる 付属動詞候補（タ系）
      3 やら	助詞,接続助詞,*,*,やら,やら,*
      3 やっぱり	副詞,*,*,*,やっぱり,やっぱり,代表表記:やっぱり/やっぱり
      3 もしも	副詞,*,*,*,もしも,もしも,代表表記:もしも/もしも
      3 みよう	接尾辞,動詞性接尾辞,母音動詞,意志形,みる,みよう,代表表記:みる/みる
      3 み	接尾辞,動詞性接尾辞,母音動詞,基本連用形,みる,み,代表表記:みる/みる
      3 また	助詞,接続助詞,*,*,また,また,*
      3 ましょう	接尾辞,動詞性接尾辞,動詞性接尾辞ます型,意志形,ます,ましょう,代表表記:ます/ます
      3 ほしい	形容詞,*,イ形容詞イ段,基本形,ほしい,ほしい,代表表記:欲しい/ほしい 動詞派生:欲する/ほっする
      3 ひと	名詞,数詞,*,*,ひと,ひと,連語
      3 のだろう	助動詞,*,ナ形容詞,ダ列基本推量形,のだ,のだろう,*
      3 ね	動詞,*,母音動詞,基本連用形,ねる,ね,代表表記:寝る/ねる ドメイン:家庭・暮らし 自他動詞:他:寝かす/ねかす;他:寝かせる/ねかせる 反義:動詞:起きる/おきる
      3 なんか	助詞,副助詞,*,*,なんか,なんか,*
      3 なろう	動詞,*,子音動詞ラ行,意志形,なる,なろう,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
      3 なら	動詞,*,子音動詞ラ行,未然形,なる,なら,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
      3 など	助詞,副助詞,*,*,など,など,*
      3 なぜ	副詞,*,*,*,なぜ,なぜ,代表表記:何故/なぜ
      3 なし	名詞,普通名詞,*,*,なし,なし,代表表記:梨/なし カテゴリ:植物;人工物-食べ物 ドメイン:料理・食事
      3 なくて	接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,タ系連用テ形,ない,なくて,代表表記:ない/ない
      3 ないで	動詞,*,子音動詞ガ行,タ系連用テ形,なぐ,ないで,代表表記:凪ぐ/なぐ
      3 どこ	指示詞,名詞形態指示詞,*,*,どこ,どこ,代表表記:どこ/どこ
      3 ど	名詞,普通名詞,*,*,ど,ど,代表表記:度/ど 漢字読み:音 カテゴリ:数量
      3 とりあえず	副詞,*,*,*,とりあえず,とりあえず,代表表記:取り敢えず/とりあえず
      3 できる	動詞,*,母音動詞,基本形,できる,できる,代表表記:出来る/できる
      3 て	接尾辞,動詞性接尾辞,母音動詞,タ系連用テ形,る,て,代表表記:る/る
      3 っけ	助詞,終助詞,*,*,っけ,っけ,*
      3 ちょっと	副詞,*,*,*,ちょっと,ちょっと,代表表記:ちょっと/ちょっと 相対名詞修飾 用言弱修飾
      3 だって	助詞,副助詞,*,*,だって,だって,*
      3 たとえ	副詞,*,*,*,たとえ,たとえ,代表表記:たとえ/たとえ
      3 そんな	指示詞,連体詞形態指示詞,*,*,そんな,そんな,*
      3 そこ	指示詞,名詞形態指示詞,*,*,そこ,そこ,*
      3 そうに	接尾辞,形容詞性述語接尾辞,ナ形容詞,ダ列基本連用形,そうだ,そうに,代表表記:そうだ/そうだ
      3 そうです	接尾辞,形容詞性述語接尾辞,ナ形容詞,デス列基本形,そうだ,そうです,代表表記:そうだ/そうだ
      3 そう	指示詞,副詞形態指示詞,*,*,そう,そう,*
      3 せ	動詞,*,サ変動詞,文語未然形,する,せ,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
      3 せ	接尾辞,動詞性接尾辞,母音動詞,未然形,せる,せ,代表表記:せる/せる
      3 すっ	動詞,*,子音動詞ラ行,タ接連用形,する,すっ,代表表記:刷る/する ドメイン:文化・芸術;メディア
      3 すぎた	接尾辞,動詞性接尾辞,母音動詞,タ形,すぎる,すぎた,代表表記:過ぎる/すぎる
      3 す	接尾辞,動詞性接尾辞,子音動詞サ行,基本形,す,す,代表表記:す/す
      3 しまう	接尾辞,動詞性接尾辞,子音動詞ワ行,基本形,しまう,しまう,代表表記:しまう/しまう
      3 しまい	接尾辞,動詞性接尾辞,子音動詞ワ行,基本連用形,しまう,しまい,代表表記:しまう/しまう
      3 して	接尾辞,動詞性接尾辞,サ変動詞,タ系連用テ形,する,して,代表表記:する/する
      3 した	接尾辞,動詞性接尾辞,サ変動詞,タ形,する,した,代表表記:する/する
      3 さ	接尾辞,名詞性述語接尾辞,*,*,さ,さ,代表表記:さ/さ 準内容語 カテゴリ:抽象物;数量
      3 さ	接尾辞,動詞性接尾辞,子音動詞サ行,未然形,す,さ,代表表記:す/す
      3 さ	接尾辞,動詞性接尾辞,サ変動詞,未然形,する,さ,代表表記:する/する
      3 ここ	指示詞,名詞形態指示詞,*,*,ここ,ここ,*
      3 くれ	接尾辞,動詞性接尾辞,母音動詞,基本連用形,くれる,くれ,代表表記:くれる/くれる
      3 くる	接尾辞,動詞性接尾辞,カ変動詞,基本形,くる,くる,代表表記:くる/くる
      3 き	接尾辞,動詞性接尾辞,カ変動詞,基本連用形,くる,き,代表表記:くる/くる
      3 お前	名詞,普通名詞,*,*,お前,おまえ,代表表記:御前/おまえ カテゴリ:人
      3 おかしい	形容詞,*,イ形容詞イ段,基本形,おかしい,おかしい,代表表記:おかしい/おかしい
      3 おかげ	名詞,副詞的名詞,*,*,おかげ,おかげ,代表表記:お陰/おかげ
      3 お	接頭辞,ナ形容詞接頭辞,*,*,お,お,代表表記:御/お
      3 う	接尾辞,動詞性接尾辞,子音動詞ワ行,基本形,う,う,代表表記:う/う
      3 いつか	副詞,*,*,*,いつか,いつか,代表表記:何時か/いつか
      3 いたら	接尾辞,動詞性接尾辞,母音動詞,タ系条件形,いる,いたら,代表表記:いる/いる
      3 い	名詞,普通名詞,*,*,い,い,代表表記:井/い 漢字読み:訓 カテゴリ:場所-自然
      3 い	動詞,*,母音動詞,未然形,いる,い,代表表記:射る/いる
      3 あれば	動詞,*,子音動詞ラ行,基本条件形,ある,あれば,代表表記:有る/ある 補文ト 反義:形容詞:無い/ない
      3 ある	連体詞,*,*,*,ある,ある,代表表記:或る/ある
      3 ぁ	名詞,副詞的名詞,*,*,*,*,*
      3 ５	名詞,数詞,*,*,５,ご,カテゴリ:数量
      3 ◯	特殊,記号,*,*,*,*,*
      3 →	特殊,記号,*,*,*,*,*
      3 ◆	特殊,記号,*,*,◆,◆,*
      3 ★	特殊,記号,*,*,★,★,*
      3 】～	特殊,記号,*,*,*,*,*
      3 〉	特殊,括弧終,*,*,〉,〉,*
      3 〈	特殊,括弧始,*,*,〈,〈,*
      3 ］	特殊,括弧終,*,*,］,］,*
      3 ［	特殊,括弧始,*,*,［,［,*
      3 ”	特殊,括弧終,*,*,”,”,*
      3 ‐	特殊,記号,*,*,‐,‐,*
      3 ．	特殊,句点,*,*,．,．,*
      3 　-	特殊,記号,*,*,*,*,*
      3 world	名詞,組織名,*,*,*,*,*
      3 story	名詞,組織名,*,*,*,*,*
      3 amp	名詞,組織名,*,*,*,*,*
      3 WORLD	名詞,組織名,*,*,*,*,*
      3 Ver	名詞,組織名,*,*,*,*,*
      3 The	名詞,組織名,*,*,*,*,*
      3 R	名詞,組織名,*,*,*,*,*
      3 Of	名詞,組織名,*,*,*,*,*
      3 O	名詞,組織名,*,*,*,*,*
      3 M	名詞,組織名,*,*,*,*,*
      3 I	名詞,組織名,*,*,*,*,*
      3 (？)	特殊,記号,*,*,*,*,*
      3 !	特殊,記号,*,*,*,*,*
      2 ～【	特殊,記号,*,*,*,*,*
      2 絆	名詞,普通名詞,*,*,絆,きずな,代表表記:絆/きずな カテゴリ:抽象物
      2 篝原	名詞,人名,*,*,*,*,*
      2 眷属	名詞,普通名詞,*,*,眷属,眷属,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:神使
      2 冤罪	名詞,普通名詞,*,*,冤罪,えんざい,代表表記:冤罪/えんざい カテゴリ:抽象物 ドメイン:政治
      2 脇役	名詞,普通名詞,*,*,脇役,わきやく,代表表記:脇役/わきやく カテゴリ:抽象物 ドメイン:文化・芸術
      2 和	名詞,普通名詞,*,*,和,わ,代表表記:和/わ 漢字読み:音 カテゴリ:抽象物
      2 路	名詞,普通名詞,*,*,路,じ,代表表記:路/じ 漢字読み:訓 カテゴリ:場所-施設 ドメイン:交通
      2 連れて	動詞,*,母音動詞,タ系連用テ形,連れる,つれて,代表表記:連れる/つれる
      2 恋する	動詞,*,サ変動詞,基本形,恋する,こいする,代表表記:恋する/こいする ドメイン:家庭・暮らし 名詞派生:恋/こい
      2 歴史	名詞,普通名詞,*,*,歴史,れきし,代表表記:歴史/れきし カテゴリ:抽象物
      2 零	名詞,数詞,*,*,零,ぜろ,カテゴリ:数量
      2 例え	動詞,*,母音動詞,基本連用形,例える,たとえ,代表表記:例える/たとえる
      2 令	名詞,普通名詞,*,*,令,れい,代表表記:令/れい 漢字読み:音 カテゴリ:抽象物 ドメイン:政治
      2 輪	名詞,普通名詞,*,*,輪,りん,代表表記:輪/りん 漢字読み:音 カテゴリ:人工物-その他
      2 良い	形容詞,*,イ形容詞アウオ段,基本形,良い,よい,代表表記:良い/よい 反義:形容詞:悪い/わるい
      2 猟	名詞,普通名詞,*,*,猟,りょう,代表表記:猟/りょう 漢字読み:音 カテゴリ:抽象物
      2 旅行	名詞,サ変名詞,*,*,旅行,りょこう,代表表記:旅行/りょこう カテゴリ:抽象物 ドメイン:レクリエーション
      2 立つ	動詞,*,子音動詞タ行,基本形,立つ,たつ,代表表記:立つ/たつ 付属動詞候補（基本） 自他動詞:他:立てる/たてる 反義:動詞:座る/すわる
      2 立ち向かう	動詞,*,子音動詞ワ行,基本形,立ち向かう,たちむかう,代表表記:立ち向かう/たちむかう
      2 立ち	動詞,*,子音動詞タ行,基本連用形,立つ,たち,代表表記:立つ/たつ 付属動詞候補（基本） 自他動詞:他:立てる/たてる 反義:動詞:座る/すわる
      2 裏切ら	動詞,*,子音動詞ラ行,未然形,裏切る,うらぎら,代表表記:裏切る/うらぎる
      2 理由	名詞,普通名詞,*,*,理由,りゆう,代表表記:理由/りゆう 〜を〜に構成語 修飾（デ格） カテゴリ:抽象物
      2 理不尽	形容詞,*,ナ形容詞,語幹,理不尽だ,りふじん,代表表記:理不尽だ/りふじんだ
      2 来る	接尾辞,動詞性接尾辞,カ変動詞来,基本形,来る,くる,代表表記:来る/くる
      2 欲しい	形容詞,*,イ形容詞イ段,基本形,欲しい,ほしい,代表表記:欲しい/ほしい 動詞派生:欲する/ほっする
      2 要塞	名詞,普通名詞,*,*,要塞,ようさい,代表表記:要塞/ようさい カテゴリ:場所-施設
      2 様	名詞,副詞的名詞,*,*,様,よう,代表表記:様/よう
      2 幼なじみ	名詞,普通名詞,*,*,幼なじみ,おさななじみ,代表表記:幼馴染み/おさななじみ カテゴリ:人 ドメイン:家庭・暮らし
      2 与え	動詞,*,母音動詞,未然形,与える,あたえ,代表表記:与える/あたえる 反義:動詞:奪う/うばう
      2 幽霊	名詞,普通名詞,*,*,幽霊,ゆうれい,代表表記:幽霊/ゆうれい カテゴリ:人 ドメイン:文化・芸術
      2 友達	名詞,普通名詞,*,*,友達,ともだち,代表表記:友達/ともだち カテゴリ:人 ドメイン:家庭・暮らし
      2 友人	名詞,普通名詞,*,*,友人,ゆうじん,代表表記:友人/ゆうじん カテゴリ:人
      2 約束	名詞,サ変名詞,*,*,約束,やくそく,代表表記:約束/やくそく 補文ト カテゴリ:抽象物
      2 役立た	動詞,*,子音動詞タ行,未然形,役立つ,やくだた,代表表記:役立つ/やくだつ 自他動詞:他:役立てる/やくだてる
      2 野郎	名詞,普通名詞,*,*,野郎,やろう,代表表記:野郎/やろう カテゴリ:人
      2 爺さん	名詞,普通名詞,*,*,爺さん,じいさん,代表表記:爺さん/じいさん カテゴリ:人 ドメイン:家庭・暮らし
      2 滅ぼし	動詞,*,子音動詞サ行,基本連用形,滅ぼす,ほろぼし,代表表記:滅ぼす/ほろぼす 自他動詞:自:滅びる/ほろびる;自:滅ぶ/ほろぶ
      2 明	名詞,普通名詞,*,*,明,めい,代表表記:明/めい 漢字読み:音 カテゴリ:抽象物;色
      2 名乗る	動詞,*,子音動詞ラ行,基本形,名乗る,なのる,代表表記:名乗る/なのる 補文ト
      2 無用	形容詞,*,ナノ形容詞,語幹,無用だ,むよう,代表表記:無用だ/むようだ 反義:形容詞:有用だ/ゆうようだ
      2 無敵の	形容詞,*,ナノ形容詞,ダ列特殊連体形,無敵だ,むてきの,代表表記:無敵だ/むてきだ
      2 無色	名詞,普通名詞,*,*,無色,むしょく,代表表記:無色/むしょく カテゴリ:色
      2 無限の	形容詞,*,ナノ形容詞,ダ列特殊連体形,無限だ,むげんの,代表表記:無限だ/むげんだ 反義:形容詞:有限だ/ゆうげんだ
      2 無かった	形容詞,*,イ形容詞アウオ段,タ形,無い,なかった,代表表記:無い/ない 反義:動詞:有る/ある
      2 夢現	名詞,普通名詞,*,*,夢現,ゆめうつつ,代表表記:夢現/ゆめうつつ カテゴリ:抽象物
      2 夢見る	動詞,*,母音動詞,基本形,夢見る,ゆめみる,代表表記:夢見る/ゆめみる ドメイン:家庭・暮らし
      2 未	接頭辞,ナ形容詞接頭辞,*,*,未,み,代表表記:未/み
      2 味方	名詞,サ変名詞,*,*,味方,みかた,代表表記:味方/みかた 〜を〜に構成語 カテゴリ:人 反義:名詞-普通名詞:敵/てき
      2 漫画	名詞,普通名詞,*,*,漫画,まんが,代表表記:漫画/まんが カテゴリ:人工物-その他;抽象物 ドメイン:文化・芸術
      2 万能	名詞,普通名詞,*,*,万能,ばんのう,代表表記:万能/ばんのう カテゴリ:抽象物
      2 枚	接尾辞,名詞性名詞助数辞,*,*,枚,まい,代表表記:枚/まい 準内容語
      2 魔道士	名詞,普通名詞,*,*,魔道士,魔道士,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:魔法使い
      2 暴食	名詞,サ変名詞,*,*,暴食,暴食,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:食欲
      2 忘却	名詞,サ変名詞,*,*,忘却,ぼうきゃく,代表表記:忘却/ぼうきゃく カテゴリ:抽象物
      2 傍ら	名詞,時相名詞,*,*,傍ら,かたわら,代表表記:傍ら/かたわら カテゴリ:場所-機能
      2 放置	名詞,サ変名詞,*,*,放置,ほうち,代表表記:放置/ほうち カテゴリ:抽象物
      2 放り	動詞,*,子音動詞ラ行,基本連用形,放る,ほうり,代表表記:ほうる/ほうる
      2 放っておいて	動詞,*,子音動詞カ行,タ系連用テ形,放っておく,ほうっておいて,代表表記:放っておく/ほうっておく
      2 崩壊	名詞,サ変名詞,*,*,崩壊,ほうかい,代表表記:崩壊/ほうかい カテゴリ:抽象物
      2 母親	名詞,普通名詞,*,*,母親,ははおや,代表表記:母親/ははおや カテゴリ:人 ドメイン:家庭・暮らし
      2 捕まった	動詞,*,子音動詞ラ行,タ形,捕まる,つかまった,代表表記:捕まる/つかまる 自他動詞:他:捕まえる/つかまえる
      2 保護	名詞,サ変名詞,*,*,保護,ほご,代表表記:保護/ほご カテゴリ:人工物-その他
      2 篇	名詞,普通名詞,*,*,篇,へん,代表表記:編/へん 漢字読み:音 カテゴリ:抽象物
      2 片腕	名詞,普通名詞,*,*,片腕,かたうで,代表表記:片腕/かたうで カテゴリ:動物-部位
      2 片思い	名詞,サ変名詞,*,*,片思い,かたおもい,代表表記:片思い/かたおもい カテゴリ:抽象物 ドメイン:家庭・暮らし
      2 片	名詞,普通名詞,*,*,片,かた,代表表記:片/かた 漢字読み:訓 カテゴリ:抽象物
      2 変わる	動詞,*,子音動詞ラ行,基本形,変わる,かわる,代表表記:変わる/かわる 自他動詞:他:変える/かえる
      2 変な	形容詞,*,ナ形容詞,ダ列基本連体形,変だ,へんな,代表表記:変だ/へんだ
      2 別の	形容詞,*,ナノ形容詞,ダ列特殊連体形,別だ,べつの,代表表記:別だ/べつだ
      2 壁	名詞,普通名詞,*,*,壁,かべ,代表表記:壁/かべ 漢字読み:訓 カテゴリ:場所-施設部位
      2 平和	形容詞,*,ナ形容詞,語幹,平和だ,へいわ,代表表記:平和だ/へいわだ
      2 分間	接尾辞,名詞性名詞助数辞,*,*,分間,ふんかん,代表表記:分間/ふんかん 準内容語 カテゴリ:時間
      2 風味	名詞,普通名詞,*,*,風味,ふうみ,代表表記:風味/ふうみ カテゴリ:抽象物 ドメイン:料理・食事
      2 風	名詞,普通名詞,*,*,風,かぜ,代表表記:風/かぜ 漢字読み:訓 カテゴリ:抽象物
      2 部活	名詞,普通名詞,*,*,部活,ぶかつ,代表表記:部活/ぶかつ カテゴリ:抽象物 ドメイン:教育・学習
      2 部屋	名詞,普通名詞,*,*,部屋,へや,代表表記:部屋/へや カテゴリ:場所-施設 ドメイン:家庭・暮らし
      2 部員	名詞,普通名詞,*,*,部員,ぶいん,代表表記:部員/ぶいん カテゴリ:人 ドメイン:スポーツ;教育・学習
      2 武士	名詞,普通名詞,*,*,武士,ぶし,代表表記:武士/ぶし カテゴリ:人
      2 負け	動詞,*,母音動詞,基本連用形,負ける,まけ,代表表記:負ける/まける 自他動詞:他:負かす/まかす 反義:動詞:勝つ/かつ
      2 普通に	形容詞,*,ナノ形容詞,ダ列基本連用形,普通だ,ふつうに,代表表記:普通だ/ふつうだ
      2 普通	副詞,*,*,*,普通,ふつう,代表表記:普通/ふつう
      2 怖い	形容詞,*,イ形容詞アウオ段,基本形,怖い,こわい,代表表記:怖い/こわい
      2 夫婦	名詞,普通名詞,*,*,夫婦,ふうふ,代表表記:夫婦/ふうふ カテゴリ:組織・団体 ドメイン:家庭・暮らし
      2 付き	動詞,*,子音動詞カ行,基本連用形,付く,つき,代表表記:付く/つく 補文ト 付属動詞候補（基本） 自他動詞:他:付ける/つける
      2 不能	形容詞,*,ナノ形容詞,語幹,不能だ,ふのう,代表表記:不能だ/ふのうだ
      2 不死鳥	名詞,普通名詞,*,*,不死鳥,ふしちょう,代表表記:不死鳥/ふしちょう カテゴリ:動物
      2 不死身の	形容詞,*,ナノ形容詞,ダ列特殊連体形,不死身だ,ふじみの,代表表記:不死身だ/ふじみだ
      2 不死身に	形容詞,*,ナノ形容詞,ダ列基本連用形,不死身だ,ふじみに,代表表記:不死身だ/ふじみだ
      2 不思議	形容詞,*,ナ形容詞,語幹,不思議だ,ふしぎ,代表表記:不思議だ/ふしぎだ
      2 不幸な	形容詞,*,ナ形容詞,ダ列基本連体形,不幸だ,ふこうな,代表表記:不幸だ/ふこうだ 反義:形容詞:幸福だ/こうふくだ
      2 評価	名詞,サ変名詞,*,*,評価,ひょうか,代表表記:評価/ひょうか カテゴリ:抽象物
      2 美人	名詞,普通名詞,*,*,美人,びじん,代表表記:美人/びじん カテゴリ:人
      2 美しく	形容詞,*,イ形容詞イ段,基本連用形,美しい,うつくしく,代表表記:美しい/うつくしい 反義:形容詞:醜い/みにくい
      2 比	名詞,普通名詞,*,*,比,ひ,代表表記:比/ひ 漢字読み:音 カテゴリ:数量
      2 番外	名詞,普通名詞,*,*,番外,ばんがい,代表表記:番外/ばんがい カテゴリ:抽象物
      2 番	名詞,普通名詞,*,*,番,ばん,代表表記:番/ばん 漢字読み:音 カテゴリ:抽象物
      2 班	名詞,普通名詞,*,*,班,はん,代表表記:班/はん 漢字読み:音 カテゴリ:抽象物
      2 反逆	名詞,サ変名詞,*,*,反逆,はんぎゃく,代表表記:反逆/はんぎゃく カテゴリ:抽象物 ドメイン:政治
      2 半	名詞,普通名詞,*,*,半,はん,代表表記:半/はん 漢字読み:音 カテゴリ:数量
      2 抜き	動詞,*,子音動詞カ行,基本連用形,抜く,ぬき,代表表記:抜く/ぬく 付属動詞候補（基本） 自他動詞:自:抜ける/ぬける
